Article_ID,Date,Source,Title,Content_Snippet,Entity_Mentioned,Sector,Sentiment_Score,Sentiment_Label,Language
791fd2a8-daad-41e5-831d-21e5d944cfa3,2023-03-05,Zawya,Masdar reports steady performance in revenue,"According to industry experts, the energy sector is experiencing unprecedented demand due to consumer demand.",Masdar,Energy,0.01,Neutral,English
7861c6c5-fafb-4e7f-8ad6-73b9c212419f,2021-08-09,Arab News,Mashreq Bank reports significant decline in annual results,third-party reports show that investment has fluctuated by 1% compared to last year.,Mashreq Bank,Finance,0.62,Positive,English
1b9fcbcf-2d73-4f3f-b3d4-c2bfb4d67413,2025-05-21,Zawya,New directive to impact Real Estate sector,government reports show that investment has fluctuated by 14% compared to last year.,Nakheel,Real Estate,0.38,Positive,English
0b76f251-1503-4d92-b64c-ec7abff4766b,2023-01-24,Arabian Business,SAR/stocks prices drop amid policy changes,internal reports show that growth has increased by 37% compared to last year.,Mashreq Bank,Finance,-0.11,Neutral,English
5a8ab96b-36d8-4d30-8a5c-fa07c5f25174,2025-12-15,LinkedIn Influencers,Souq.com partners with local startup for innovation hub,industry reports show that investment has increased by 33% compared to last year.,Souq.com,Tech,0.53,Positive,English
3da2839d-2b96-4510-bc13-814a9e0e7ebb,2022-02-12,Arab News,DP World reports strong growth in Q4 results,"In a recent interview, Spokesperson stated that DP World will review policies in the coming months.",DP World,Real Estate,0.29,Neutral,English
948e9f8b-529e-430a-ab26-a1fa75a1ef79,2020-05-12,Khaleej Times,Dubai welcomes 7 million tourists in 2024,"According to industry experts, the tourism sector is experiencing strong performance due to government policies.",Jumeirah Group,Tourism,0.22,Neutral,English
757ffbd8-74c6-465b-9bb7-3adf37bb2ed7,2024-02-26,Dubai Chronicle,.ﻉﻭﺮﺸﻣ ﻲﺑﺩ ﻉﺎﻄﻗ ﻮﻤﻧ ﻕﻮﺳ ﺩﺎﺼﺘﻗﺍ ﺕﺍﺭﺎﻣﻻﺍ ﺔﺣﺎﻴﺳ,.ﻉﻭﺮﺸﻣ ﺭﺎﻤﺜﺘﺳﺍ ﻉﺎﻄﻗ ﺩﺎﺼﺘﻗﺍ ﺭﻮﻄﺗ ﺔﻛﺮﺷ ﻮﻤﻧ ﺔﻗﺎﻃ ﻲﺑﺩ ﺔﺣﺎﻴﺳ,Emaar,Real Estate,0.28,Neutral,Arabic
6eacac53-2042-48bf-b582-8472e8c743cd,2024-03-21,Gulf News,Business Bay emerges as new hotspot for villa investments,DP World has announced a strategic partnership in its latest move to enhance services.,DP World,Real Estate,0.33,Neutral,English
4eccfb99-ee6f-40dc-a681-a6bcaade7bdb,2023-05-06,The National,Dubai Finance sector sees stabilize in profit,internal reports show that prices has increased by 28% compared to last year.,BitOasis (Crypto),Finance,0.42,Positive,English
85006e1e-ed9d-4bce-82b7-e058fa7153fe,2025-04-18,The National,New regulation to impact Real Estate sector,Emaar has announced record profits in its latest move to boost growth.,Emaar,Real Estate,0.26,Neutral,English
a6ac7e67-69c9-45b9-9341-7e7a753604e4,2021-02-23,Arabian Business,DP World announces new commercial project in Downtown Dubai,internal reports show that investment has fluctuated by 48% compared to last year.,DP World,Real Estate,0.39,Positive,English
9ddcd2a3-5edc-4199-bdd0-8520e62baf00,2024-03-04,The National,TAQA reports mixed results in revenue,"In a recent interview, Analyst stated that TAQA will invest in R&D in the coming months.",TAQA,Energy,0.37,Positive,English
39520ceb-d2e7-44cb-87d5-040dc4345ba0,2024-11-16,Bloomberg MENA,.ﻕﻮﺳ ﺔﻴﻟﺎﻣ ﻮﻤﻧ ﻲﺑﺩ ﺕﺍﺭﺎﻘﻋ,.ﺔﻛﺮﺷ ﺔﻴﻟﺎﻣ ﻉﻭﺮﺸﻣ ﺔﺣﺎﻴﺳ ﻉﺎﻄﻗ ﺩﺎﺼﺘﻗﺍ ﺭﺎﻤﺜﺘﺳﺍ ﺔﻗﺎﻃ ﻕﻮﺳ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ,BitOasis (Crypto),Finance,0.49,Positive,Arabic
145c63ee-b058-4b18-8c73-161cb3ce7986,2022-04-23,Gulf News,.ﻮﻤﻧ ﻕﻮﺳ ﻉﺎﻄﻗ ﺔﻗﺎﻃ ﻉﻭﺮﺸﻣ ﺭﺎﻤﺜﺘﺳﺍ ﻲﺑﺩ ﺔﻛﺮﺷ ﺭﻮﻄﺗ ﺔﺣﺎﻴﺳ,.ﻮﻤﻧ ﺔﻗﺎﻃ ﺕﺍﺭﺎﻣﻻﺍ ﻲﺑﺩ ﻉﺎﻄﻗ ﺔﻛﺮﺷ ﻕﻮﺳ ﺭﺎﻤﺜﺘﺳﺍ ﺭﻮﻄﺗ,Dubai South,Real Estate,0.35,Positive,Arabic
a334a2c3-7af8-440f-9ee4-26b14c514ccf,2020-04-09,Zawya,Dubai penthouse prices fluctuate by 22%,The law introduced by Dubai Government is expected to restrict the real estate sector.,DP World,Real Estate,0.21,Neutral,English
7d10c2be-4a47-41eb-aff6-25fa63706014,2022-12-28,Khaleej Times,New theme park opens in Dubai Hills,industry reports show that investment has increased by 43% compared to last year.,Dubai Tourism,Tourism,0.85,Positive,English
7f21ae25-490c-452b-8d11-9fe64b394bbe,2024-12-26,Dubai Media Office,Dubai South reports significant decline in Q2 results,government reports show that investment has increased by 18% compared to last year.,Dubai South,Real Estate,0.38,Positive,English
3b882eeb-479c-4c16-b819-ae502e0a47ef,2025-04-29,Dubai Chronicle,Palm Jumeirah emerges as new hotspot for townhouse investments,"In a recent interview, CEO stated that Dubai South will hire more staff in the coming months.",Dubai South,Real Estate,0.31,Neutral,English
7e1575a3-e7c1-4672-8abd-69a85e4fde8f,2024-02-27,Gulf News,Nakheel announces new residential project in Dubai Marina,"In a recent interview, Analyst stated that Nakheel will launch new products in the coming months.",Nakheel,Real Estate,0.23,Neutral,English
85ed2c11-566c-485a-a85e-687b88c24ef2,2022-08-10,Gulf News,New blockchain initiative launched by Careem,industry reports show that investment has stabilized by 12% compared to last year.,Careem,Tech,0.9,Positive,English
ebb95266-7fd1-497e-ba91-9de845e0d741,2021-01-06,Arab News,New museum opens in Downtown Dubai,Expo 2020 has announced an innovative solution in its latest move to regulate the market.,Expo 2020,Tourism,0.71,Positive,English
d5c185b4-1f0e-465f-8fb6-4379c339524e,2023-10-15,The National,Dubai welcomes 13 million tourists in 2023,.ﻕﻮﺳ ﺔﻴﻟﺎﻣ ﺔﺣﺎﻴﺳ ﺕﺍﺭﺎﻘﻋ ﺭﺎﻤﺜﺘﺳﺍ ﻉﻭﺮﺸﻣ ﺭﻮﻄﺗ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ,AI Ministry,Tech,0.7,Positive,Arabic
a7bb486c-ed29-446b-a510-3b1ce565bb6c,2021-06-15,LinkedIn Influencers,USD/stocks prices surge amid global trends,The policy introduced by Federal Authority is expected to modernize the finance sector.,Dubai Islamic Bank,Finance,0.64,Positive,English
02eba9b3-c614-4abd-9adf-a1e487b2f745,2023-08-22,The National,TAQA signs MoU with international firm for digital transformation,"According to industry experts, the energy sector is experiencing strong performance due to global trends.",TAQA,Energy,0.52,Positive,English
4da897a6-9067-424f-9ae7-f39a50009efd,2024-12-26,The National,Dubai townhouse prices drop by 19%,"In a recent interview, Spokesperson stated that Nakheel will expand operations in the coming months.",Nakheel,Real Estate,0.43,Positive,English
78b44c90-ffd4-4c2d-8349-8bc5e53c2208,2021-10-28,The National,Dubai penthouse prices drop by 10%,government reports show that prices has decreased by 11% compared to last year.,DP World,Real Estate,0.71,Positive,English
0aebd395-8334-4a91-aa03-9683b291748d,2023-10-01,Zawya,Downtown Dubai emerges as new hotspot for penthouse investments,Emaar has announced a major expansion in its latest move to boost growth.,Emaar,Real Estate,0.26,Neutral,English
4c87b2d9-4020-4a4e-8799-52e2e6bcd03c,2023-12-30,Dubai Chronicle,USD/stocks prices drop amid policy changes,The regulation introduced by Dubai Government is expected to regulate the finance sector.,Mashreq Bank,Finance,0.59,Positive,English
f6445a13-20d8-4822-aa42-1f6278645064,2022-11-16,The National,Dubai villa prices fluctuate by 22%,The regulation introduced by DIFC is expected to modernize the real estate sector.,Nakheel,Real Estate,0.18,Neutral,English
6c26f179-8890-4337-a5dc-db7905357c78,2021-05-14,The National,.ﺕﺍﺭﺎﻘﻋ ﻉﺎﻄﻗ ﻲﺑﺩ ﺕﺍﺭﺎﻣﻻﺍ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﺔﻛﺮﺷ ﻉﻭﺮﺸﻣ ﺭﻮﻄﺗ,.ﻉﺎﻄﻗ ﺕﺍﺭﺎﻣﻻﺍ ﺭﺎﻤﺜﺘﺳﺍ ﺔﻛﺮﺷ ﺭﻮﻄﺗ ﻮﻤﻧ ﻉﻭﺮﺸﻣ,Dubai Islamic Bank,Finance,0.32,Neutral,Arabic
dd522bd2-b6d3-4b36-a679-5daf051c819d,2022-09-08,Emirates 24/7,.ﻲﺑﺩ ﺕﺍﺭﺎﻣﻻﺍ ﺭﺎﻤﺜﺘﺳﺍ ﺩﺎﺼﺘﻗﺍ ﻉﻭﺮﺸﻣ,.ﻉﻭﺮﺸﻣ ﺔﻛﺮﺷ ﻕﻮﺳ ﺭﻮﻄﺗ ﺕﺍﺭﺎﻘﻋ ﺩﺎﺼﺘﻗﺍ,Nakheel,Real Estate,0.23,Neutral,Arabic
c410a701-7fdb-4746-93fc-aba7278164ae,2023-03-20,Arab News,New theme park opens in Palm Jumeirah,Expo 2020 has announced record profits in its latest move to boost growth.,Expo 2020,Tourism,0.21,Neutral,English
8bd9925e-c037-429f-80d2-8ad7a88fff39,2022-12-16,Arabian Business,Nakheel announces new mixed-use project in Dubai Hills,The framework introduced by Federal Authority is expected to restrict the real estate sector.,Nakheel,Real Estate,0.44,Positive,English
3a784058-65a2-41ce-aa06-80df1726f96d,2022-12-10,WAM (UAE News Agency),Dubai ranked top in global tourism index,Dubai Tourism has announced a strategic partnership in its latest move to boost growth.,Dubai Tourism,Tourism,0.64,Positive,English
74becaa0-d6ab-4aff-a6b8-0319893a515e,2020-02-21,The National,Dubai apartment prices fluctuate by 18%,The policy introduced by DIFC is expected to modernize the real estate sector.,Emaar,Real Estate,0.3,Neutral,English
0c447f4e-00ac-4885-a46f-ba27fc4cc4ec,2023-10-31,Zawya,New IoT to reduce water by 20%,"In a recent interview, CEO stated that TAQA will invest in R&D in the coming months.",TAQA,Energy,0.27,Neutral,English
f71463d7-8468-41cb-ae77-25df77c4c1a9,2021-01-28,Arabian Business,New theme park opens in Dubai Marina,Jumeirah Group has announced a strategic partnership in its latest move to enhance services.,Jumeirah Group,Tourism,0.5,Positive,English
12576262-8d0e-4bc6-a49b-190d0f19f4b0,2024-07-09,LinkedIn Influencers,.ﺭﻮﻄﺗ ﺭﺎﻤﺜﺘﺳﺍ ﺔﺣﺎﻴﺳ ﺩﺎﺼﺘﻗﺍ ﺕﺍﺭﺎﻣﻻﺍ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﺔﻴﻟﺎﻣ ﻉﺎﻄﻗ,.ﺭﺎﻤﺜﺘﺳﺍ ﺔﻴﻟﺎﻣ ﻮﻤﻧ ﺔﺣﺎﻴﺳ ﺕﺍﺭﺎﻣﻻﺍ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﻕﻮﺳ,Masdar,Energy,0.56,Positive,Arabic
b2c7aaed-d7f3-4c13-8363-3aa9aee744a1,2025-07-27,Bloomberg MENA,Mashreq Bank launches new app for SMEs,"In a recent interview, Director stated that Mashreq Bank will expand operations in the coming months.",Mashreq Bank,Finance,0.66,Positive,English
eca59519-a83b-40cd-8d95-d3bc045d93df,2023-11-09,Dubai Media Office,DP World announces new residential project in Palm Jumeirah,The policy introduced by Dubai Government is expected to regulate the real estate sector.,DP World,Real Estate,0.1,Neutral,English
b00d944d-a05e-4159-9f82-344a22b5982c,2023-09-25,Facebook News Pages,Dubai villa prices surge by 19%,government reports show that supply has decreased by 46% compared to last year.,DP World,Real Estate,0.22,Neutral,English
58640eb1-94b5-44c2-abc6-887738e94a97,2022-05-26,WAM (UAE News Agency),BitOasis (Crypto) announces overhaul to licensing,BitOasis (Crypto) has announced a major expansion in its latest move to improve sustainability.,BitOasis (Crypto),Finance,0.32,Neutral,English
1fd86da3-0139-4285-b89f-8bc92e46cc1b,2025-11-23,Dubai Chronicle,global trends drives transformation to tourism sector,The framework introduced by Dubai Government is expected to restrict the tourism sector.,Dubai Tourism,Tourism,0.73,Positive,English
0e52e7c6-d1a0-4108-9d4d-bfe087f3724f,2020-09-19,Emirates 24/7,Dubai ranked leading in global tourism index,Jumeirah Group has announced an innovative solution in its latest move to improve sustainability.,Jumeirah Group,Tourism,0.74,Positive,English
c20c2c96-7ecc-42a4-8b95-ac3e1685c6d2,2025-04-23,Dubai Chronicle,Careem raises $468 in Series A funding,"According to industry experts, the tech sector is experiencing rapid growth due to technological advancements.",Careem,Tech,0.79,Positive,English
54544d92-adf7-412e-b134-9b6ef6b3bd55,2025-10-13,Khaleej Times,.ﺔﻗﺎﻃ ﺔﺣﺎﻴﺳ ﺭﻮﻄﺗ ﻮﻤﻧ ﺕﺍﺭﺎﻘﻋ ﻲﺑﺩ,.ﻕﻮﺳ ﺭﻮﻄﺗ ﺔﻛﺮﺷ ﺭﺎﻤﺜﺘﺳﺍ ﻉﻭﺮﺸﻣ ﺕﺍﺭﺎﻣﻻﺍ,Emaar,Real Estate,0.31,Neutral,Arabic
fb237cb1-5425-49da-b70a-305bc8a5c4c1,2020-09-15,Twitter Threads,Careem raises $480 in Series C funding,The policy introduced by UAE Central Bank is expected to transform the tech sector.,Careem,Tech,1.0,Positive,English
f96cd055-1a86-43b4-b5cd-0bf3309f7af9,2021-02-26,Khaleej Times,DIFC announces revision to investment,The law introduced by DIFC is expected to modernize the finance sector.,DIFC,Finance,0.35,Positive,English
ce6cf4d7-cb90-4e9e-a758-ff60c49a625f,2020-06-30,Arabian Business,AED/bonds prices surge amid market conditions,internal reports show that growth has stabilized by 43% compared to last year.,Mashreq Bank,Finance,0.24,Neutral,English
cf7a60aa-664d-4767-a7bd-09c0a9e6e1a6,2024-02-10,Facebook News Pages,Dubai South announces new mixed-use project in Palm Jumeirah,The framework introduced by DIFC is expected to transform the real estate sector.,Dubai South,Real Estate,0.49,Positive,English
aeb013a3-73ee-496a-b4d4-a530b41f7b6b,2021-12-12,Gulf News,.ﻉﺎﻄﻗ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﺔﻴﻟﺎﻣ ﺭﺎﻤﺜﺘﺳﺍ ﻉﻭﺮﺸﻣ ﻲﺑﺩ ﺕﺍﺭﺎﻣﻻﺍ ﺭﻮﻄﺗ ﻕﻮﺳ,.ﻕﻮﺳ ﻉﺎﻄﻗ ﺩﺎﺼﺘﻗﺍ ﺭﻮﻄﺗ ﺭﺎﻤﺜﺘﺳﺍ,DP World,Real Estate,0.43,Positive,Arabic
3821b619-6425-4955-9b7f-1569e45c3cae,2020-03-10,Gulf News,.ﺩﺎﺼﺘﻗﺍ ﺭﺎﻤﺜﺘﺳﺍ ﺭﻮﻄﺗ ﺔﻴﻟﺎﻣ ﻕﻮﺳ,.ﺭﻮﻄﺗ ﺕﺍﺭﺎﻘﻋ ﻲﺑﺩ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﺔﻗﺎﻃ ﺔﻴﻟﺎﻣ ﻉﺎﻄﻗ ﻮﻤﻧ ﺔﻛﺮﺷ ﻉﻭﺮﺸﻣ,TAQA,Energy,0.45,Positive,Arabic
93d42d03-40c1-465a-8356-d74c0702e469,2024-10-02,Dubai Chronicle,Emaar reports record results in Q3 results,"In a recent interview, Director stated that Emaar will hire more staff in the coming months.",Emaar,Real Estate,0.32,Neutral,English
ed9f1e08-3917-44a6-b131-188ffcd39032,2023-08-26,Dubai Chronicle,.ﻕﻮﺳ ﻮﻤﻧ ﺕﺍﺭﺎﻣﻻﺍ ﺔﻴﻟﺎﻣ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﺭﺎﻤﺜﺘﺳﺍ ﻲﺑﺩ ﺕﺍﺭﺎﻘﻋ ﺩﺎﺼﺘﻗﺍ,.ﻲﺑﺩ ﺔﻛﺮﺷ ﺕﺍﺭﺎﻘﻋ ﺭﻮﻄﺗ ﺩﺎﺼﺘﻗﺍ ﺭﺎﻤﺜﺘﺳﺍ ﻉﺎﻄﻗ ﻕﻮﺳ ﺔﺣﺎﻴﺳ,Souq.com,Tech,0.68,Positive,Arabic
81817e0d-aeeb-4225-983f-7e1308dec8e8,2020-06-16,WAM (UAE News Agency),.ﺔﻛﺮﺷ ﺩﺎﺼﺘﻗﺍ ﻕﻮﺳ ﺕﺍﺭﺎﻘﻋ ﺭﺎﻤﺜﺘﺳﺍ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﺔﻗﺎﻃ ﻉﻭﺮﺸﻣ,.ﺔﻗﺎﻃ ﻉﺎﻄﻗ ﺭﺎﻤﺜﺘﺳﺍ ﺩﺎﺼﺘﻗﺍ ﺔﺣﺎﻴﺳ ﻲﺑﺩ ﺔﻛﺮﺷ ﻉﻭﺮﺸﻣ,Nakheel,Real Estate,-0.18,Neutral,Arabic
24724406-de25-42d0-ad23-95cb75d2683d,2024-09-13,Gulf News,Masdar reports steady performance in profit,"According to industry experts, the energy sector is experiencing a slowdown due to global trends.",Masdar,Energy,0.54,Positive,English
dc971a1f-e16f-49b0-bccb-3463b80cfa39,2023-11-04,WAM (UAE News Agency),BitOasis (Crypto) announces overhaul to investment,third-party reports show that prices has increased by 17% compared to last year.,BitOasis (Crypto),Finance,0.43,Positive,English
336feeaf-6acf-4e7b-bbb3-1be5f2192d14,2024-07-23,The National,DIFC reports strong growth in annual results,"In a recent interview, CEO stated that DIFC will invest in R&D in the coming months.",DIFC,Finance,0.52,Positive,English
6d3ba66e-ce01-4ade-9c3e-3dd5aa9600aa,2025-12-31,LinkedIn Influencers,Dubai Hills emerges as new hotspot for penthouse investments,third-party reports show that investment has decreased by 41% compared to last year.,Dubai South,Real Estate,0.36,Positive,English
00e0c06c-cf5e-42d0-bfa7-c36281f92bf7,2020-05-25,Khaleej Times,Dubai Islamic Bank reports significant decline in annual results,Dubai Islamic Bank has announced an innovative solution in its latest move to regulate the market.,Dubai Islamic Bank,Finance,0.31,Neutral,English
3d83e71e-07e0-4aa8-b705-c4d07e5a6727,2023-10-15,Dubai Chronicle,.ﻕﻮﺳ ﺕﺍﺭﺎﻣﻻﺍ ﺩﺎﺼﺘﻗﺍ ﻲﺑﺩ ﻉﺎﻄﻗ,.ﻉﻭﺮﺸﻣ ﺔﻛﺮﺷ ﺔﻴﻟﺎﻣ ﺕﺍﺭﺎﻘﻋ ﻕﻮﺳ ﺕﺍﺭﺎﻣﻻﺍ ﺭﻮﻄﺗ ﻉﺎﻄﻗ,Dubai South,Real Estate,0.49,Positive,Arabic
af8fb2fa-2e38-440d-9e37-2c926435475d,2022-03-29,Emirates 24/7,.ﻉﻭﺮﺸﻣ ﺭﺎﻤﺜﺘﺳﺍ ﺩﺎﺼﺘﻗﺍ ﻕﻮﺳ ﺭﻮﻄﺗ ﺔﻴﻟﺎﻣ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ,.ﺭﻮﻄﺗ ﻮﻤﻧ ﺕﺍﺭﺎﻘﻋ ﻲﺑﺩ ﻉﺎﻄﻗ ﺩﺎﺼﺘﻗﺍ ﻉﻭﺮﺸﻣ ﺔﻗﺎﻃ ﺔﺣﺎﻴﺳ ﺔﻛﺮﺷ,G42,Tech,0.5,Positive,Arabic
c472716c-d718-423a-ba79-7fbb4fb3a17b,2022-03-28,WAM (UAE News Agency),New policy to impact Real Estate sector,Dubai South has announced a major expansion in its latest move to enhance services.,Dubai South,Real Estate,0.45,Positive,English
dd9a0a0a-f9e7-41a1-aa00-1ef5f04d4da9,2021-06-21,Arabian Business,.ﺕﺍﺭﺎﻘﻋ ﺔﺣﺎﻴﺳ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﻕﻮﺳ ﺩﺎﺼﺘﻗﺍ ﻲﺑﺩ,.ﺩﺎﺼﺘﻗﺍ ﺔﻗﺎﻃ ﻉﺎﻄﻗ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﺔﻛﺮﺷ,Souq.com,Tech,0.75,Positive,Arabic
a0859be7-a078-405b-82b5-faf9c9aa465a,2024-06-16,Bloomberg MENA,Dubai South reports record results in Q3 results,"According to industry experts, the real estate sector is experiencing unprecedented demand due to consumer demand.",Dubai South,Real Estate,0.75,Positive,English
d9432293-9eeb-4875-af30-6395f5548f9e,2024-03-27,Gulf News,AED/stocks prices stabilize amid global trends,"In a recent interview, Spokesperson stated that Dubai Islamic Bank will review policies in the coming months.",Dubai Islamic Bank,Finance,0.32,Neutral,English
ecc09d31-2d44-4d8a-b742-6ea73a2d6f30,2024-04-30,Arab News,.ﻉﺎﻄﻗ ﺕﺍﺭﺎﻘﻋ ﺭﻮﻄﺗ ﺩﺎﺼﺘﻗﺍ ﻲﺑﺩ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﺔﺣﺎﻴﺳ ﺔﻗﺎﻃ ﻕﻮﺳ ﺭﺎﻤﺜﺘﺳﺍ,.ﻉﺎﻄﻗ ﺕﺍﺭﺎﻣﻻﺍ ﺔﻗﺎﻃ ﺩﺎﺼﺘﻗﺍ ﺭﻮﻄﺗ ﺔﺣﺎﻴﺳ,Emaar,Real Estate,0.76,Positive,Arabic
9180f0e3-9940-4bf6-8c04-1f9aeae0b9c6,2025-06-15,Facebook News Pages,.ﻲﺑﺩ ﺕﺍﺭﺎﻣﻻﺍ ﻕﻮﺳ ﻉﺎﻄﻗ ﺩﺎﺼﺘﻗﺍ,.ﺔﺣﺎﻴﺳ ﺔﻴﻟﺎﻣ ﺩﺎﺼﺘﻗﺍ ﻉﻭﺮﺸﻣ ﻕﻮﺳ,DEWA,Energy,0.45,Positive,Arabic
c29ab0c9-ca41-4bd2-94a9-4ed2be5cad39,2022-10-15,Emirates 24/7,SAR/crypto prices drop amid market conditions,"According to industry experts, the finance sector is experiencing unprecedented demand due to technological advancements.",Dubai Islamic Bank,Finance,0.49,Positive,English
8c07ee43-4e62-4dfe-ac07-0a6a2a12a7d2,2023-02-20,WAM (UAE News Agency),Nakheel reports mixed results in Q2 results,Nakheel has announced new regulations in its latest move to regulate the market.,Nakheel,Real Estate,-0.17,Neutral,English
4ecc29ea-9af0-4011-95dd-4b29eebccaec,2022-08-23,The National,New regulation to impact Real Estate sector,"In a recent interview, Minister stated that Emaar will expand operations in the coming months.",Emaar,Real Estate,0.08,Neutral,English
32711e08-7bfa-4b04-b5c6-5f2f46c85109,2024-04-27,Twitter Threads,New policy to impact Real Estate sector,"According to industry experts, the real estate sector is experiencing market correction due to technological advancements.",,Real Estate,0.34,Positive,English
da284174-91c1-48dd-a7e6-1ed303e75085,2024-10-10,Zawya,Dubai announces new solar initiative,"In a recent interview, Director stated that TAQA will expand operations in the coming months.",TAQA,Energy,0.29,Neutral,English
62a1ee3b-3525-4f7c-9904-473814d4f921,2025-03-08,WAM (UAE News Agency),BitOasis (Crypto) reports strong growth in annual results,BitOasis (Crypto) has announced record profits in its latest move to improve sustainability.,BitOasis (Crypto),Finance,0.53,Positive,English
406faadb-7202-454b-8da5-5b6175bfe5ca,2025-09-22,Arabian Business,Souq.com raises $164 in seed funding,"In a recent interview, CEO stated that Souq.com will expand operations in the coming months.",Souq.com,Tech,0.42,Positive,English
4eedbeb8-42fe-4700-adc0-bda89efd48d5,2021-09-24,Dubai Chronicle,DP World announces new commercial project in Downtown Dubai,The law introduced by Federal Authority is expected to modernize the real estate sector.,,Real Estate,0.44,Positive,English
4cfa70b2-8345-44d9-99b7-c41e5a369d11,2024-02-07,Bloomberg MENA,.ﻉﻭﺮﺸﻣ ﻉﺎﻄﻗ ﺔﻛﺮﺷ ﻮﻤﻧ ﺕﺍﺭﺎﻣﻻﺍ ﻕﻮﺳ ﺩﺎﺼﺘﻗﺍ ﺕﺍﺭﺎﻘﻋ,.ﺔﻗﺎﻃ ﺎﻴﺟﻮﻟﻮﻨﻜﺗ ﻮﻤﻧ ﻕﻮﺳ ﻲﺑﺩ,DP World,Real Estate,0.35,Positive,Arabic
